time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1740456000,88162.19,87725.87,88031.26,53.19,4676986.05,87825.46,direct,
1740459600,87972.87,87629.81,87825.46,65.59,5760279.94,87906.94,direct,
1740463200,87964.25,87110.67,87906.94,128.4,11226278.04,87140.07,direct,
1740466800,87296.3,84334.34,87140.07,909.59,77832731.7,85370.04,direct,
1740470400,86020.79,85108.1,85370.04,304.94,26141917.6,85394.21,direct,
1740474000,85593.34,84289.94,85394.21,302.63,25698492.38,84303.02,direct,
1740477600,84846.11,82978.78,84303.02,510.31,42821297.28,84195.79,direct,
1740481200,85182.46,83612.32,84195.79,224.3,18912468.85,85076.6,direct,
1740484800,85301.9,84795.66,85076.6,210.17,17862049.2,85210.96,direct,
1740488400,85301.4,84493.25,85210.96,163.72,13889883.28,84602.8,direct,
1740492000,85126.13,82888.13,84602.8,303.29,25497705.77,82957.85,direct,
1740495600,83492.26,81782.37,82957.85,650.87,53750578.11,83024.79,direct,
1740499200,83522.92,81988.5,83024.79,300.45,24828954.82,83260.86,direct,
1740502800,83603.33,82671.83,83260.86,191.04,15877560.77,83008.02,direct,
1740506400,83469.09,82663.06,83008.02,153.16,12713723.74,82772.98,direct,
1740510000,83692.42,82280.66,82772.98,204.97,16985946.37,83581.56,direct,
1740513600,84624.21,83296.95,83581.56,241.76,20311492.77,83806.67,direct,
1740517200,84410.14,83430.74,83806.67,128.87,10816852.76,84406.52,direct,
1740520800,85036.4,84182.36,84406.52,145.02,12269322.55,84463.07,direct,
1740524400,84714.12,84292.17,84463.07,80.38,6794068.52,84292.24,direct,
1740528000,84292.59,83731.69,84292.24,53.9,4524660.6,83739.34,direct,
1740531600,84406.35,83733.08,83739.34,34.79,2921534.77,84329.36,direct,
1740535200,84823.63,84087.88,84329.36,23.77,2006869.81,84659.8,direct,
1740538800,85017.76,84590.6,84659.8,31.03,2630771.19,84591.9,direct,
1740542400,84877.39,84441.44,84591.9,41.38,3504105.22,84441.44,direct,
1740546000,84625.58,84238.95,84441.44,47.45,4008603.19,84242.33,direct,
1740549600,84702.35,84235.91,84242.33,88.83,7508793.57,84691.23,direct,
1740553200,84878.3,84245.36,84691.23,101.57,8589599.31,84519.75,direct,
1740556800,84583.31,83938.76,84519.75,98.87,8322733.35,84245.34,direct,
1740560400,85025.77,84231.14,84245.34,101.6,8604412.28,84872.54,direct,
1740564000,85038.31,84655.6,84872.54,112.51,9546130.05,85005.11,direct,
1740567600,85014.75,84435.76,85005.11,154.33,13076487.76,84457.78,direct,
1740571200,84511.99,83584.02,84457.78,115.9,9745255.95,83922.89,direct,
1740574800,84018.0,82988.45,83922.89,139.0,11610532.53,83107.23,direct,
1740578400,83531.1,81451.22,83107.23,403.73,33284637.78,83496.54,direct,
1740582000,84367.08,83195.22,83496.54,265.11,22196103.28,83290.98,direct,
1740585600,83491.21,82118.48,83290.98,183.22,15157497.51,82517.06,direct,
1740589200,82958.96,81609.66,82517.06,205.47,16929003.1,81911.97,direct,
1740592800,82295.94,79505.38,81911.97,636.57,51349355.45,80228.55,direct,
1740596400,80998.42,79702.57,80228.55,349.1,28013351.71,79805.99,direct,
1740600000,80542.3,78355.42,79805.99,499.1,39677507.31,80331.8,direct,
1740603600,81026.94,79446.98,80331.8,337.46,27091902.15,80541.36,direct,
1740607200,81288.12,80134.08,80541.36,138.74,11197305.77,80401.32,direct,
1740610800,80704.02,79895.4,80401.32,80.85,6479778.37,80173.97,direct,
1740614400,80777.6,80068.44,80173.97,94.8,7626674.76,80759.09,direct,
1740618000,81398.68,80397.95,80759.09,68.4,5533304.15,80777.22,direct,
1740621600,81189.66,80376.67,80777.22,101.15,8167062.31,80399.1,direct,
1740625200,81405.94,80380.47,80399.1,51.05,4133753.27,81329.88,direct,
1740628800,81426.53,80827.38,81329.88,66.05,5361213.14,81285.53,direct,
1740632400,82025.39,81219.48,81285.53,86.46,7062768.48,81993.88,direct,
1740636000,82752.24,81840.17,81993.88,105.85,8704029.78,82322.77,direct,
1740639600,82605.74,82188.22,82322.77,136.66,11260903.21,82328.86,direct,
1740643200,82490.34,81980.92,82328.86,114.64,9421344.91,82107.7,direct,
1740646800,82354.55,81921.6,82107.7,94.26,7744506.15,82141.13,direct,
1740650400,83017.96,82058.22,82141.13,109.17,9006059.76,82972.35,direct,
1740654000,83019.15,82403.62,82972.35,92.65,7659644.73,82700.72,direct,
1740657600,82788.03,82296.13,82700.72,68.65,5663909.45,82344.3,direct,
1740661200,82834.3,82080.74,82344.3,177.95,14670700.16,82526.06,direct,
1740664800,82733.4,81420.9,82526.06,288.79,23713226.92,81473.63,direct,
1740668400,82539.28,81141.13,81473.63,206.23,16902431.06,82036.82,direct,
1740672000,82256.1,80972.49,82036.82,141.41,11538514.21,81047.34,direct,
1740675600,81570.86,80993.02,81047.34,124.09,10075509.58,81175.16,direct,
1740679200,81523.01,81059.03,81175.16,78.69,6397254.27,81145.8,direct,
1740682800,81149.99,80264.03,81145.8,172.05,13873780.96,80741.93,direct,
1740686400,80766.16,79440.85,80741.93,291.53,23302227.97,80173.05,direct,
1740690000,81072.01,79932.67,80173.05,143.75,11590200.31,81057.31,direct,
1740693600,81384.21,80598.35,81057.31,88.14,7130673.9,81360.77,direct,
1740697200,81568.44,81087.43,81360.77,55.91,4545648.41,81408.06,direct,
1740700800,81540.75,80922.72,81408.06,38.51,3129665.31,80952.03,direct,
1740704400,81021.52,78136.24,80952.03,304.32,24096661.5,78681.81,direct,
1740708000,79672.83,76582.03,78681.81,497.8,38688533.01,77753.34,direct,
1740711600,78448.67,77216.07,77753.34,165.78,12912474.27,77352.61,direct,
1740715200,77835.46,76390.81,77352.61,223.24,17204582.3,77344.04,direct,
1740718800,77425.71,76066.4,77344.04,523.24,40064518.67,76810.5,direct,
1740722400,77270.35,76025.87,76810.5,296.71,22697566.74,76284.49,direct,
1740726000,77104.27,75746.76,76284.49,388.28,29630391.36,76071.23,direct,
1740729600,76263.71,75190.2,76071.23,456.98,34570367.41,75843.61,direct,
1740733200,77558.15,75776.72,75843.61,308.04,23642072.95,77237.63,direct,
1740736800,77355.65,76506.4,77237.63,187.06,14371708.77,76921.57,direct,
1740740400,77694.4,76895.29,76921.57,181.14,14008397.19,77389.57,direct,
1740744000,77616.57,76966.24,77389.57,163.05,12591057.03,77591.81,direct,
